chemID,chemMaterial,chemName,chemConcentration,chemAmountExpected,chemAmountUnit,chemLocationRoom,chemLocationCabinet,chemLocationShelf,chemSDS,chemNotes,chemInstrument
169,Non-Flammable Organics,9-Anthraldehyde,97%,1200,g,Prep Room,None,None,1,,
170,Non-Flammable Organics,Anthracene,97%,1200,g,Prep Room,None,None,1,,
171,Non-Flammable Organics,9-Anthracenecarboxaldehyde,97%,1200,g,Prep Room,None,None,1,,
172,Non-Flammable Organics,Benzaldehyde,98%,1200,mL,Prep Room,None,None,1,,
173,Non-Flammable Organics,Benzamide,99%,1200,g,Prep Room,None,None,1,,
174,Non-Flammable Organics,Benzyl Chloride,97%,1200,L,Prep Room,None,None,1,,
175,Non-Flammable Organics,Benzyltriethylammonium Chloride,99%,1200,g,Prep Room,None,None,1,,
176,Non-Flammable Organics,Benzyltriphenylphosphonium Chloride,99%,1200,g,Prep Room,None,None,1,,
177,Non-Flammable Organics,Benzonitrile,?,1200,mL,Prep Room,None,None,1,,
178,Non-Flammable Organics,Benzoic Acid,99%,1200,g,Prep Room,None,None,1,,
179,Non-Flammable Organics,Benzophenone,99%,1200,g,Prep Room,None,None,1,,
180,Non-Flammable Organics,Benzoyl Peroxide,97%,1200,g,Prep Room,None,None,1,,
181,Non-Flammable Organics,Boric Acid,99%,1200,g,Prep Room,None,None,1,,
182,Non-Flammable Organics,Bromobenzene,-,1200,mL,Prep Room,None,None,1,,
183,Non-Flammable Organics,2-Bromoethanol,95%,1200,g,Prep Room,None,None,1,,
184,Non-Flammable Organics,2-Bromo-2-methylpropane,96%,1200,mL,Prep Room,None,None,1,,
185,Non-Flammable Organics,1-Bromopropane,99%,1200,mL,Prep Room,None,None,1,,
186,Non-Flammable Organics,2-Bromopropane,99%,1200,mL,Prep Room,None,None,0,,
187,Non-Flammable Organics,1-Butanol,99%,1200,L,Prep Room,None,None,1,,
188,Non-Flammable Organics,t-Butanol,99%,1200,mL,Prep Room,None,None,1,,
189,Non-Flammable Organics,Butyraldehyde,99%,1200,L,Prep Room,None,None,1,,
190,Non-Flammable Organics,Caffeine,Solid,1200,g,Prep Room,None,None,1,,
191,Non-Flammable Organics,(1R)-(+)-Camphor,98%,1200,g,Prep Room,None,None,1,,
192,Non-Flammable Organics,2-Carboxybenzaldehyde,Solid,1200,g,Prep Room,None,None,1,,
193,Non-Flammable Organics,Carnitine Hydrochloride,98%,1200,g,Prep Room,None,None,1,,
194,Non-Flammable Organics,Chloroacetic Acid,99%,1200,g,Prep Room,None,None,1,,
195,Non-Flammable Organics,"1-Chloro-9,10-bis(phenylethynyl)anthracene",99%,1200,g,Prep Room,None,None,1,,
196,Non-Flammable Organics,"4-Chloro-2,6-dimethylphenol",98%,1200,g,Prep Room,None,None,1,,
197,Non-Flammable Organics,trans-Cinnamaldehyde,99%,1200,g,Prep Room,None,None,1,,
198,Non-Flammable Organics,trans-Cinnamic Acid,97%,1200,g,Prep Room,None,None,1,,
199,Non-Flammable Organics,Citric Acid Anhydrous,Solid,1200,g,Prep Room,None,None,1,,
200,Non-Flammable Organics,Citric Acid Trisodium Dihydrate,Solid,1200,g,Prep Room,None,None,1,,
201,Non-Flammable Organics,Citric Acid,10%,1200,mL,Prep Room,None,None,1,,
202,Non-Flammable Organics,Cotton Seed Oil,-,1200,L,Prep Room,None,None,1,,
203,Non-Flammable Organics,o-Cresol,99%,1200,mL,Prep Room,None,None,1,,
204,Non-Flammable Organics,m-Cresol,99%,1200,mL,Prep Room,None,None,1,,
205,Non-Flammable Organics,2-Cyanoacetamide,99%,1200,g,Prep Room,None,None,1,,
206,Non-Flammable Organics,Cyanuric Acid Anhydrous,98%,1200,g,Prep Room,None,None,1,,
207,Non-Flammable Organics,Cyclohexanecarboxylic Acid,98%,1200,mL,Prep Room,None,None,1,,
208,Non-Flammable Organics,Cyclohexanol,99%,1200,L,Prep Room,None,None,1,,
209,Non-Flammable Organics,Cyclohexanone,99%,1200,mL,Prep Room,None,None,1,,
210,Non-Flammable Organics,Decanoic Acid,Solid,1200,g,Prep Room,None,None,1,,
211,Non-Flammable Organics,D.E.R. 332 Epoxy Resin,-,1200,mL,Prep Room,None,None,1,,
212,Non-Flammable Organics,"1,6-Diaminohexane",98%,1200,g,Prep Room,None,None,1,,
213,Non-Flammable Organics,"2,4-Dichlorobenzoic Acid",98%,1200,g,Prep Room,None,None,1,,
214,Non-Flammable Organics,Dichloromethane,99%,1200,L,Prep Room,None,None,1,,
215,Non-Flammable Organics,Diethyl Phthalate,99.50%,1200,mL,Prep Room,None,None,1,,
216,Non-Flammable Organics,"3,4-Dihydro-2H-pyran",97%,1200,mL,Prep Room,None,None,1,,
217,Non-Flammable Organics,"2,4-Dihydroxyacetophenone",Solid,1200,g,Prep Room,None,None,1,,
218,Non-Flammable Organics,"N,N-Diisopropylethylamine",98%,1200,mL,Prep Room,None,None,1,,
219,Non-Flammable Organics,"1,4-Dimethyoxybenzene",99%,1200,g,Prep Room,None,None,1,,
220,Non-Flammable Organics,"3,4-Dimethoxybenzoic Acid",99%,1200,g,Prep Room,None,None,1,,
221,Non-Flammable Organics,"2,6-Dimethylaniline",99%,1200,mL,Prep Room,None,None,1,,
222,Non-Flammable Organics,"N,N-Dimethylaniline",99%,1200,mL,Prep Room,None,None,1,,
223,Non-Flammable Organics,"N,N-Dimethylformamide",99%,1200,L,Prep Room,None,None,1,,
224,Non-Flammable Organics,"2,6-Dimethylphenol",99%,1200,g,Prep Room,None,None,1,,
