chemBottleIDNUM,chemMaterial,chemName,chemConcentration,chemAmountInBottle,chemAmountUnit,chemLocationRoom,chemSDS,chemNotes,chemInstrument,,,,
235,Non-Flammable Organics,Ethylene Glycol Diethyl Ether,98%,25,mL,Prep Room,1,,,,,,
236,Non-Flammable Organics,Ethylene Glycol Dimethyl Ether,99%,200,mL,Prep Room,1,,,,,,
237,Non-Flammable Organics,Ethylenediaminetetraacetic acid,99%,120,g,Prep Room,1,,,,,,
238,Non-Flammable Organics,Ethynylestra Diol,Solid,5,g,Prep Room,1,,,,,,
239,Non-Flammable Organics,Fehlings B,?,200,mL,Prep Room,1,,,,,,
240,Non-Flammable Organics,Ferrocene,98%,500,g,Prep Room,1,,,,,,
241,Non-Flammable Organics,Fluorescein,Solid,50,g,Prep Room,1,,,,,,
242,Non-Flammable Organics,Fmoc-Gly-Wang Resin,Solid,3,g,Prep Room,1,,,,,,
243,Non-Flammable Organics,Formaldehyde,37%,15,mL,Prep Room,1,,,,,,
244,Non-Flammable Organics,Fullerene,99%,5,g,Prep Room,1,,,,,,
245,Non-Flammable Organics,Fumaric Acid,99%,400,g,Prep Room,1,,,,,,
246,Non-Flammable Organics,Gallium-Indium Eutectic,99.99%,4,g,Prep Room,1,,,,,,
247,Non-Flammable Organics,Glycerol,95%,4.3,L,Prep Room,1,,,,,,
248,Non-Flammable Organics,Guar Gum,95%,6,g,Prep Room,1,,,,,,
249,Non-Flammable Organics,Hexamethylenediamine,80-95%,100,g,Prep Room,1,,,,,,
250,Non-Flammable Organics,Hexyl Alcohol,98%,1,L,Prep Room,1,,,,,,
251,Non-Flammable Organics,Hydrazine,1.0 M,500,mL,Prep Room,1,,,,,,
252,Non-Flammable Organics,Hydroquinone,99%,150,g,Prep Room,1,,,,,,
253,Non-Flammable Organics,Hydroxybenzotriazole Hydrate,20%,20,g,Prep Room,1,,,,,,
254,Non-Flammable Organics,8-Hydroxyquinone,?,250,mL,Prep Room,0,,,,,,
255,Non-Flammable Organics,Imidazole,99%,250,g,Prep Room,1,,,,,,
256,Non-Flammable Organics,IonLic DMII,Solid,1,g,Prep Room,0,,,,,,
257,Non-Flammable Organics,4-Isopropylbenzoic Acid,98%,4.5,g,Prep Room,1,,,,,,
258,Non-Flammable Organics,"4,4-Isopropylidenediphenol",97%,60,g,Prep Room,1,,,,,,
259,Non-Flammable Organics,Lauric Acid,Solid,20,g,Prep Room,1,,,,,,
260,Non-Flammable Organics,L-Leucine,Solid,8,g,Prep Room,1,,,,,,
261,Non-Flammable Organics,Luminol,Solid,3,g,Prep Room,1,,,,,,
262,Non-Flammable Organics,Maleic Acid,Solid,600,g,Prep Room,1,,,,,,
263,Non-Flammable Organics,Maleic Anhydride,Solid,2000,g,Prep Room,1,,,,,,
264,Non-Flammable Organics,Malonic Acid,99%,150,g,Prep Room,1,,,,,,
265,Non-Flammable Organics,Malonic Acid in KBr,?,1,L,Prep Room,1,,,,,,
266,Non-Flammable Organics,Melamine,99%,900,g,Prep Room,1,,,,,,
267,Non-Flammable Organics,4-Methoxybenzaldehyde,98%,80,mL,Prep Room,1,,,,,,
268,Non-Flammable Organics,2-Methoxyethyl Ether,99%,1100,mL,Prep Room,1,,,,,,
269,Non-Flammable Organics,Mesitylene,97%,200,mL,Prep Room,1,,,,,,
270,Non-Flammable Organics,Methyl Benzoate,99%,3.6,L,Prep Room,1,,,,,,
271,Non-Flammable Organics,3-Methyl-3-Pentanol,99%,300,mL,Prep Room,1,,,,,,
272,Non-Flammable Organics,1-Methyl-2-Pyrrolidinone,99%,40,mL,Prep Room,1,,,,,,
273,Non-Flammable Organics,Methyl Salicylate,98%,1200,mL,Prep Room,1,,,,,,
274,Non-Flammable Organics,2-Methylcyclohexanol,99%,800,mL,Prep Room,1,,,,,,
275,Non-Flammable Organics,N-Methylpyrrolidinone,?,200,mL,Prep Room,1,,,,,,
276,Non-Flammable Organics,Mineral Oil,95%,2,L,Prep Room,1,,,,,,
277,Non-Flammable Organics,1:1 Methanol:Water,50%,2.5,L,Prep Room,1,,,,,,
278,Non-Flammable Organics,Myristic Acid,Solid,50,g,Prep Room,1,,,,,,
279,Non-Flammable Organics,Napthalene,Solid,1,kg,Prep Room,1,,,,,,
280,Non-Flammable Organics,1-Naphthoic Acid,96%,70,g,Prep Room,1,,,,,,
281,Non-Flammable Organics,Alpha-Naphthol,Solid,400,g,Prep Room,1,,,,,,
